Date,Actual Price,Predicted Price
2021-01-04,243.2566680908203,221.72464
2021-01-05,245.0366668701172,230.11407
2021-01-06,251.9933319091797,236.76875
2021-01-07,272.0133361816406,243.61844
2021-01-08,293.3399963378906,255.58337
2021-01-11,270.39666748046875,271.80325
2021-01-12,283.14666748046875,273.1812
2021-01-13,284.8033447265625,277.1278
2021-01-14,281.6666564941406,278.82394
2021-01-15,275.38665771484375,277.77722
2021-01-19,281.51666259765625,273.83673
2021-01-20,283.48333740234375,273.1469
2021-01-21,281.663330078125,273.66245
2021-01-22,282.21331787109375,273.77496
2021-01-25,293.6000061035156,274.38245
2021-01-26,294.36334228515625,279.53378
2021-01-27,288.0533447265625,283.68387
2021-01-28,278.4766540527344,284.01953
2021-01-29,264.510009765625,279.88312
