Date,Predicted Price,Lower Bound,Upper Bound
2025-04-11,256.0435129436428,222.75785626096922,289.32916962631634
2025-04-14,257.43684939722704,223.9700589755875,290.9036398188665
2025-04-15,257.37490090783075,223.91616378981274,290.8336380258487
2025-04-16,257.0563567297767,223.63903035490574,290.47368310464765
2025-04-17,256.8864608952831,223.4912209788963,290.2817008116699
2025-04-18,256.9112683220323,223.51280344016808,290.3097332038965
2025-04-21,257.06302810555786,223.64483445183535,290.48122175928034
2025-04-22,257.2675702445283,223.82278611273964,290.71235437631697
2025-04-23,257.4760927841749,224.00420072223216,290.9479848461176
2025-04-24,257.665217878273,224.1687395540975,291.16169620244847
2025-04-25,257.8283862750041,224.31069605925356,291.3460764907546
2025-04-28,257.9674199887623,224.4316553902232,291.50318458730135
2025-04-29,258.087224442916,224.53588526533693,291.63856362049506
2025-04-30,258.1925368748897,224.62750708115402,291.7575666686253
2025-05-01,258.2875619332849,224.71017888195786,291.8649449846119
